jetz_scientific_name,city_count,region_count,presence_ratio,birdlife_v3_family_name,birdlife_v3_family_name_english
Tachycineta_albiventer,5,9,0.556,Hirundinidae,Swallows and martins
Telophorus_olivaceus,0,2,0.0,Malaconotidae,"Helmetshrikes, bushshrikes and puffbacks"
Accipiter_virgatus,3,19,0.158,Accipitridae,"Osprey, kites, hawks and eagles"
Actinodura_egertoni,0,1,0.0,Timaliidae,Babblers and parrotbills
Carpodacus_roseus,0,7,0.0,Fringillidae,Finches and Hawaiian honeycreepers
Cisticola_cinereolus,0,1,0.0,Cisticolidae,Cisticolas and allies
Coturnix_japonica,0,21,0.0,Phasianidae,"Grouse, pheasants and partridges"
Herpsilochmus_rufimarginatus,3,6,0.5,Thamnophilidae,Antbirds
Pitta_caerulea,0,1,0.0,Pittidae,Pittas
Icterus_abeillei,2,3,0.667,Icteridae,New World blackbirds
Monticola_cinclorhynchus,2,23,0.087,Muscicapidae,Chats and Old World flycatchers
Otus_brucei,0,6,0.0,Strigidae,Owls
Petronia_petronia,2,10,0.2,Passeridae,"Sparrows, snowfinches and allies"
Podilymbus_podiceps,29,43,0.674,Podicipedidae,Grebes
Parus_carolinensis,5,5,1.0,Paridae,Tits and chickadees
Strix_ocellata,0,22,0.0,Strigidae,Owls
Todirostrum_chrysocrotaphum,0,1,0.0,Tyrannidae,Tyrant-flycatchers
Acrocephalus_schoenobaenus,7,23,0.304,Sylviidae,Old World warblers
Aechmophorus_clarkii,3,8,0.375,Podicipedidae,Grebes
Aegypius_monachus,1,24,0.042,Accipitridae,"Osprey, kites, hawks and eagles"
Anthus_godlewskii,0,29,0.0,Motacillidae,Wagtails and pipits
Bradypterus_baboecala,4,6,0.667,Sylviidae,Old World warblers
Buteogallus_meridionalis,1,13,0.077,Accipitridae,"Osprey, kites, hawks and eagles"
Chrysococcyx_xanthorhynchus,0,7,0.0,Cuculidae,Cuckoos
Cochlearius_cochlearius,0,8,0.0,Ardeidae,Herons and egrets
Crypturellus_parvirostris,0,6,0.0,Tinamidae,Tinamous
Emberiza_bruniceps,1,14,0.071,Emberizidae,"Buntings, American sparrows and allies"
Eremophila_alpestris,11,34,0.324,Alaudidae,Larks
Eucometis_penicillata,1,5,0.2,Thraupidae,Tanagers
Eurypyga_helias,0,2,0.0,Eurypygidae,Sunbittern
Gallinula_tenebrosa,2,3,0.667,Rallidae,"Rails, crakes and allies"
Petronia_xanthocollis,6,25,0.24,Passeridae,"Sparrows, snowfinches and allies"
Lampornis_clemenciae,1,3,0.333,Trochilidae,Hummingbirds
Mergellus_albellus,5,18,0.278,Anatidae,"Ducks, geese and swans"
Cinclidium_leucurum,3,8,0.375,Muscicapidae,Chats and Old World flycatchers
Phylloscopus_tenellipes,2,13,0.154,Sylviidae,Old World warblers
Seicercus_tephrocephalus,0,3,0.0,Sylviidae,Old World warblers
Phylloscopus_trochiloides,10,43,0.233,Sylviidae,Old World warblers
Picus_chlorolophus,1,15,0.067,Picidae,Woodpeckers
Porphyrio_flavirostris,0,3,0.0,Rallidae,"Rails, crakes and allies"
Rhodopechys_obsoletus,0,2,0.0,Fringillidae,Finches and Hawaiian honeycreepers
Sclerurus_mexicanus,0,7,0.0,Furnariidae,Ovenbirds
Dendroica_fusca,14,20,0.7,Parulidae,New World warblers
Sialia_currucoides,4,8,0.5,Turdidae,Thrushes
Sphyrapicus_ruber,5,5,1.0,Picidae,Woodpeckers
Stercorarius_parasiticus,2,8,0.25,Stercorariidae,Skuas and jaegers
Zenaida_auriculata,11,17,0.647,Columbidae,Doves and pigeons
Acridotheres_tristis,38,40,0.95,Sturnidae,Starlings
Ammomanes_deserti,0,6,0.0,Alaudidae,Larks
Buteo_lagopus,2,35,0.057,Accipitridae,"Osprey, kites, hawks and eagles"
Charadrius_placidus,2,18,0.111,Charadriidae,Plovers
Chloropsis_aurifrons,2,16,0.125,Chloropseidae,Leafbirds
Coccyzus_americanus,7,35,0.2,Cuculidae,Cuckoos
Contopus_hispaniolensis,0,2,0.0,Tyrannidae,Tyrant-flycatchers
Haematopus_longirostris,2,2,1.0,Haematopodidae,Oystercatchers
Harpactes_diardii,0,2,0.0,Trogonidae,Trogons
Cuculus_sparverioides,6,28,0.214,Cuculidae,Cuckoos
Malimbus_scutatus,0,1,0.0,Ploceidae,Weavers and allies
Francolinus_coqui,0,3,0.0,Phasianidae,"Grouse, pheasants and partridges"
Seicercus_burkii,0,11,0.0,Sylviidae,Old World warblers
Megalaima_haemacephala,30,32,0.938,Ramphastidae,Toucans and barbets
Rallus_limicola,13,25,0.52,Rallidae,"Rails, crakes and allies"
Carduelis_tristis,18,20,0.9,Fringillidae,Finches and Hawaiian honeycreepers
Strix_uralensis,0,9,0.0,Strigidae,Owls
Tadorna_tadorna,4,18,0.222,Anatidae,"Ducks, geese and swans"
Tetrax_tetrax,0,8,0.0,Otididae,Bustards
Thraupis_palmarum,11,13,0.846,Thraupidae,Tanagers
Carpodacus_rubescens,0,4,0.0,Fringillidae,Finches and Hawaiian honeycreepers
Anas_superciliosa,2,4,0.5,Anatidae,"Ducks, geese and swans"
Pycnonotus_atriceps,0,7,0.0,Pycnonotidae,Bulbuls
Philomachus_pugnax,8,41,0.195,Scolopacidae,Sandpipers and allies
Caracara_plancus,8,9,0.889,Falconidae,Falcons and caracaras
Dendropicos_fuscescens,3,9,0.333,Picidae,Woodpeckers
Hirundo_rustica,105,133,0.789,Hirundinidae,Swallows and martins
Larus_minutus,2,18,0.111,Laridae,Gulls and terns
Hippolais_opaca,0,5,0.0,Sylviidae,Old World warblers
Megaceryle_alcyon,21,28,0.75,Alcedinidae,Kingfishers
Myiagra_rubecula,1,2,0.5,Monarchidae,Monarchs
Myiarchus_ferox,3,8,0.375,Tyrannidae,Tyrant-flycatchers
Phylloscartes_flaviventris,0,1,0.0,Tyrannidae,Tyrant-flycatchers
Ramphodon_naevius,0,3,0.0,Trochilidae,Hummingbirds
Tmetothylacus_tenellus,0,1,0.0,Motacillidae,Wagtails and pipits
Turdus_boulboul,0,2,0.0,Turdidae,Thrushes
Tyrannus_tyrannus,14,23,0.609,Tyrannidae,Tyrant-flycatchers
Xiphorhynchus_erythropygius,0,2,0.0,Dendrocolaptidae,Woodcreepers
Amandava_amandava,9,34,0.265,Estrildidae,"Waxbills, grass finches, munias and allies"
Anas_poecilorhyncha,27,49,0.551,Anatidae,"Ducks, geese and swans"
Anthus_spinoletta,9,36,0.25,Motacillidae,Wagtails and pipits
Charadrius_collaris,0,15,0.0,Charadriidae,Plovers
Crypturellus_erythropus,0,3,0.0,Tinamidae,Tinamous
Ducula_bicolor,1,5,0.2,Columbidae,Doves and pigeons
Gallus_sonneratii,0,10,0.0,Phasianidae,"Grouse, pheasants and partridges"
Gavia_immer,12,15,0.8,Gaviidae,Loons or divers
Grus_americana,0,4,0.0,Gruidae,Cranes
Hirundapus_cochinchinensis,0,11,0.0,Apodidae,Swifts
Macropygia_emiliana,0,1,0.0,Columbidae,Doves and pigeons
Otus_sunia,0,41,0.0,Strigidae,Owls
Platysteira_peltata,1,4,0.25,Platysteiridae,"Shrike-flycatchers, wattle-eyes and batises"
Rostratula_benghalensis,12,60,0.2,Rostratulidae,Painted-snipes
Acrocephalus_palustris,3,27,0.111,Sylviidae,Old World warblers
Sturnus_sturninus,4,24,0.167,Sturnidae,Starlings
Aphelocoma_californica,3,6,0.5,Corvidae,Crows and jays
Bambusicola_thoracicus,8,11,0.727,Phasianidae,"Grouse, pheasants and partridges"
Larus_brunnicephalus,9,22,0.409,Laridae,Gulls and terns
Dendroplex_picus,3,6,0.5,Dendrocolaptidae,Woodcreepers
Estrilda_astrild,7,11,0.636,Estrildidae,"Waxbills, grass finches, munias and allies"
Furnarius_leucopus,1,4,0.25,Furnariidae,Ovenbirds
Garrulax_leucolophus,1,2,0.5,Timaliidae,Babblers and parrotbills
Geothlypis_trichas,22,26,0.846,Parulidae,New World warblers
Eurostopodus_macrotis,0,4,0.0,Caprimulgidae,Nightjars
Megalurus_palustris,4,17,0.235,Sylviidae,Old World warblers
Pipilo_chlorurus,3,11,0.273,Emberizidae,"Buntings, American sparrows and allies"
Podica_senegalensis,0,8,0.0,Heliornithidae,Finfoots
Pycnonotus_xanthopygos,3,3,1.0,Pycnonotidae,Bulbuls
Quelea_erythrops,0,5,0.0,Ploceidae,Weavers and allies
Pycnonotus_melanicterus,0,9,0.0,Pycnonotidae,Bulbuls
Rynchops_flavirostris,0,6,0.0,Laridae,Gulls and terns
