niche_name,foraging_niche,trophic_niche,is_noctural,total_species,merlin_10_perc_ratio,merlin_20_perc_ratio,birdlife_10_perc_ratio,birdlife_20_perc_ratio,either_10_perc_ratio,either_20_perc_ratio,both_10_perc_ratio,both_20_perc_ratio,pc1,pc2,pc3,pc4
33 || Invertivore || Invertivore glean arboreal || Diurnal,Invertivore glean arboreal,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,-2.76319912844137,0.520324445130559,-0.710832726593221,0.404636141513323
14 || Invertivore || Generalist || Diurnal,Generalist,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,-1.02910245117284,-1.66538429630975,0.427644214152946,0.534061789091415
5 || Invertivore || Invertivore sally surface || Nocturnal,Invertivore sally surface,Invertivore,TRUE,1,0,0,0,0,0,0,0,0,1.59382436433189,0.485718825578128,-0.428391254978076,0.118596961076325
80 || Invertivore || Generalist || Nocturnal,Generalist,Invertivore,TRUE,2,0,0,0,0,0,0,0,0,0.6820040653751196,0.8255076130063754,-0.8583037602774959,-1.4610615227962551
46 || Invertivore || Invertivore ground || Diurnal,Invertivore ground,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,-0.20583201356876,-1.05492038339129,0.667135358955071,-1.09011961675799
4 || Invertivore || Invertivore sally surface || Diurnal,Invertivore sally surface,Invertivore,FALSE,4,0,0,0,0,0,0,0,0,2.3809611393258927,0.11434653408688855,-0.6307557939040263,-0.10374217073081789
5 || Invertivore || Invertivore sally air || Diurnal,Invertivore sally air,Invertivore,FALSE,1,0,0,0,0,0,0,0,0,1.41303155987416,0.448518835969388,-0.576263611228417,0.125186996156529
14 || Invertivore || Invertivore sally ground || Diurnal,Invertivore sally ground,Invertivore,FALSE,4,0,0,0,0,0,0,0,0,-1.5071082138853649,-1.6038836281663875,0.48875391208439645,0.6191393388357018
18 || Invertivore || Invertivore ground || Diurnal,Invertivore ground,Invertivore,FALSE,6,0.167,0.167,0,0,0.167,0.167,0,0,2.7875034831252585,-1.5312822304437068,-0.5239474980879893,-0.29450315500383617
5 || Invertivore || Invertivore aerial || Diurnal,Invertivore aerial,Invertivore,FALSE,2,0,0,0,0,0,0,0,0,1.639021648260605,0.4943799349444995,-0.5815842367836566,0.234741702100415
