"LOCALITY_ID","SAMPLE_ID"
"L4924487","0"
"L152641","0"
"L10099747","0"
"L152601","0"
"L6599787","0"
"L342159","0"
"L152603","0"
"L152696","0"
"L2398415","0"
"L4585683","0"
"L1160738","0"
"L152754","0"
"L9116700","0"
"L161180","0"
"L1359706","0"
"L152668","0"
"L386084","0"
"L2065850","0"
"L4961501","0"
"L152657","0"
"L1903768","0"
"L552730","0"
"L6980773","0"
"L3679312","0"
"L746913","0"
"L1511851","0"
"L2772733","0"
"L152640","0"
"L548225","0"
"L4200891","0"
"L4090719","0"
"L131005","0"
"L837977","0"
"L152701","0"
"L152716","0"
"L4049736","0"
"L152735","0"
"L4384758","0"
"L140218","0"
"L4496187","0"
"L2067054","0"
"L978771","0"
"L297222","0"
"L2440695","0"
"L3178024","0"
"L1834087","0"
"L2295528","0"
"L9019705","0"
"L4967841","0"
"L789958","0"
"L354024","0"
"L4011176","0"
"L131007","0"
"L2310306","0"
"L339164","0"
"L2869978","0"
"L548509","0"
"L682145","0"
"L3615041","0"
"L1521963","0"
"L152651","0"
"L125232","0"
"L679333","0"
"L1803035","0"
"L152694","0"
"L674547","0"
"L90382","0"
"L989160","0"
"L3462264","0"
"L298724","0"
"L297230","0"
"L108460","0"
"L2508651","0"
"L1164196","0"
"L5084568","0"
"L1912765","0"
"L8905241","0"
"L193480","0"
"L2954289","0"
"L164725","0"
"L4878649","0"
"L152726","0"
"L4300325","0"
"L3442222","0"
"L10977915","0"
"L1109983","0"
"L5036881","0"
"L270904","0"
"L4789089","0"
"L152691","0"
"L11063606","0"
"L343390","0"
"L351077","0"
"L152633","0"
"L9329399","0"
"L3018454","0"
"L152758","0"
"L4565330","0"
"L2338069","0"
"L7608492","0"
"L265942","0"
"L4451173","0"
"L3938218","0"
"L654763","0"
"L8802837","0"
"L805689","0"
"L950064","0"
"L2059734","0"
"L1057281","0"
"L9318945","0"
"L10685641","0"
"L152649","0"
"L339153","0"
"L2323168","0"
"L1531598","0"
"L4152402","0"
"L152738","0"
"L8634687","0"
"L294426","0"
"L792698","0"
"L1060606","0"
"L4351919","0"
"L1462465","0"
"L125052","0"
"L152746","0"
"L1578572","0"
"L3542183","0"
"L210197","0"
"L152707","0"
"L2394410","0"
"L152600","0"
"L3306910","0"
"L1808867","0"
"L2697184","0"
"L152681","0"
"L9374561","0"
"L3460779","0"
"L2341850","0"
"L113935","0"
"L7629740","0"
"L503243","0"
"L853956","0"
"L2355723","0"
"L2500412","0"
"L382827","0"
"L612641","0"
"L11150590","0"
"L4322243","0"
"L351831","0"
"L11139986","0"
"L723907","0"
"L2287676","0"
"L152612","0"
"L1077685","0"
"L3150502","0"
"L4512496","0"
"L152717","0"
"L7348836","0"
"L246977","0"
"L2981626","0"
"L1080478","0"
"L3959967","0"
"L8935177","0"
"L152740","0"
"L4139213","0"
"L1144150","0"
"L1827474","0"
"L2515824","0"
"L2692705","0"
"L9109242","0"
"L393581","0"
"L357712","0"
"L8105400","0"
"L131061","0"
"L673076","0"
"L653878","0"
"L4493425","0"
"L124334","0"
"L680785","0"
"L3117439","0"
"L1841589","0"
"L1265810","0"
"L1912771","0"
"L124256","0"
"L7630027","0"
"L1815426","0"
"L1268069","0"
"L271150","0"
"L152739","0"
"L152731","0"
"L6366707","0"
"L5188088","0"
"L152656","0"
"L2529208","0"
"L724602","0"
"L152604","0"
"L5147656","0"
"L2306429","0"
"L344054","0"
"L210196","0"
"L353534","0"
"L1168090","0"
"L152661","0"
"L447274","0"
"L942870","0"
"L157757","0"
"L90360","0"
"L901301","0"
"L2065557","0"
"L2338365","0"
"L3780717","0"
"L2149459","0"
"L152713","0"
"L1610634","0"
"L1656568","0"
"L921302","0"
"L252503","0"
"L623766","0"
"L297366","0"
"L125053","0"
"L1191319","0"
"L3921197","0"
"L371433","0"
"L258760","0"
"L1222076","0"
"L9502179","0"
"L5410236","0"
"L1305645","0"
"L152722","0"
"L2145470","0"
"L130994","0"
"L3786267","0"
"L11551159","0"
"L4430204","0"
"L1800426","0"
"L5846625","0"
"L586124","0"
"L420581","0"
"L152708","0"
"L152718","0"
"L2155309","0"
"L7241863","0"
"L587035","0"
"L2156121","0"
"L3576390","0"
"L5384646","0"
"L132618","0"
"L2181680","0"
"L152605","0"
"L6685513","0"
"L1643417","0"
"L2814033","0"
"L3695330","0"
"L510533","0"
"L3188761","0"
"L144492","0"
"L7436007","0"
"L3435709","0"
"L311824","0"
"L595838","0"
"L11109224","0"
"L152676","0"
"L2155906","0"
"L2101032","0"
"L1488413","0"
"L152650","0"
"L505882","0"
"L2332106","0"
"L573817","0"
"L8833938","0"
"L1138020","0"
"L1532424","0"
"L3700313","0"
"L3726718","0"
"L4975787","0"
"L2518887","0"
"L4238090","0"
"L4024824","0"
"L677827","0"
"L2174579","0"
"L9189386","0"
"L1840679","0"
"L11109860","0"
"L1815416","0"
"L1237686","0"
"L2716179","0"
"L2999743","0"
"L563599","0"
"L1073019","0"
"L2064639","0"
"L152643","0"
"L4975743","0"
"L1758760","0"
"L5693495","0"
"L3305065","0"
"L7145557","0"
"L157149","0"
"L564746","0"
"L10970279","0"
"L2633894","0"
"L152626","0"
"L3455230","0"
"L509624","0"
"L1427599","0"
"L2116796","0"
"L131004","0"
"L1390602","0"
"L857953","0"
"L3934103","0"
"L4544356","0"
"L2394408","0"
"L4384752","0"
"L5748958","0"
"L4599878","0"
"L3827208","0"
"L5182320","0"
"L5049450","0"
"L5242995","0"
"L3584071","0"
"L3148022","0"
"L2639081","0"
"L4277786","0"
"L4559023","0"
"L6189366","0"
"L4100590","0"
"L3122641","0"
"L5116144","0"
"L5643592","0"
"L5405522","0"
"L5897654","0"
"L6844913","0"
"L7701109","0"
"L4004596","0"
"L5447333","0"
"L1838309","0"
"L3333783","0"
"L7332071","0"
"L3384321","0"
"L7673320","0"
"L5279408","0"
"L3109939","0"
"L4064321","0"
"L4830338","0"
"L3971818","0"
"L10163637","0"
"L3978278","0"
"L3781521","0"
"L3150912","0"
"L10953356","0"
"L7314480","0"
"L3772903","0"
"L6814641","0"
"L5052920","0"
"L7131937","0"
"L5371938","0"
"L3767798","0"
"L5589690","0"
"L5058417","0"
"L9241018","0"
"L6659713","0"
"L7505379","0"
"L2609357","0"
"L5255823","0"
"L1935093","0"
"L4108526","0"
"L5432586","0"
"L1944817","0"
"L3436013","0"
"L4060488","0"
"L3293086","0"
"L3997898","0"
"L1933362","0"
"L4156923","0"
"L3614416","0"
"L3693295","0"
"L7497416","0"
"L3996703","0"
"L5255861","0"
"L3982249","0"
"L6336995","0"
"L6868343","0"
"L3160004","0"
"L4334686","0"
"L7142266","0"
"L6374680","0"
"L4504205","0"
"L4046748","0"
"L4842465","0"
"L1122969","0"
"L4799974","0"
"L4655270","0"
"L4655265","0"
"L9852128","0"
"L3857084","0"
"L1813759","0"
"L8312883","0"
"L7022490","0"
"L5802124","0"
"L994509","0"
"L3918591","0"
"L1930245","0"
"L3599368","0"
"L3482113","0"
"L6428352","0"
"L1550710","0"
"L1955803","0"
"L1616810","0"
"L3969260","0"
"L1933430","0"
"L2303231","0"
"L471609","0"
"L618326","0"
"L3994695","0"
"L2102843","0"
"L895012","0"
"L9808667","0"
"L892584","0"
"L3460274","0"
"L5249554","0"
"L615104","0"
"L1122778","0"
"L2962871","0"
"L8815462","0"
"L3348735","0"
"L2612151","0"
"L5078186","0"
"L2648469","0"
"L2583564","0"
"L7885718","0"
"L7172202","0"
"L2676130","0"
"L3280975","0"
"L4965138","0"
"L6080394","0"
"L1955544","0"
"L4740823","0"
"L6217765","0"
"L2583597","0"
"L3231431","0"
"L2464127","0"
"L7056119","0"
"L3349006","0"
"L6488083","0"
"L3391571","0"
"L4320742","0"
"L4546742","0"
"L2609314","0"
"L4258416","0"
"L3125021","0"
"L4661937","0"
"L2612205","0"
"L7767805","0"
"L2612123","0"
"L3854987","0"
"L3382771","0"
"L3030566","0"
"L5433032","0"
"L4484845","0"
"L2639177","0"
"L2685744","0"
"L2525703","0"
"L2525698","0"
"L8697307","0"
"L2961966","0"
"L2774662","0"
"L2612100","0"
"L2612200","0"
"L2612109","0"
"L2985139","0"
"L4327180","0"
"L5287706","0"
"L10469231","0"
"L3355096","0"
"L2525699","0"
"L2525728","0"
"L3859889","0"
"L8123132","0"
"L5323303","0"
"L4299675","0"
"L2525709","0"
"L3355095","0"
"L5044418","0"
"L2570625","0"
"L6273274","0"
"L3031188","0"
"L4718540","0"
"L3225768","0"
"L4092548","0"
"L3864304","0"
"L5624804","0"
"L2637918","0"
"L6124920","0"
"L8704863","0"
"L2685736","0"
"L3350886","0"
"L4962265","0"
"L5788033","0"
"L3624280","0"
"L3868981","0"
"L4387579","0"
"L2362886","0"
"L2638857","0"
"L4890728","0"
"L3505742","0"
"L3935253","0"
"L6832319","0"
"L7647485","0"
"L3444554","0"
"L3095643","0"
"L3464334","0"
"L4240232","0"
"L2900901","0"
"L5624678","0"
"L7858360","0"
"L6200742","0"
"L3313249","0"
"L9003290","0"
"L2476142","0"
"L6951149","0"
"L922556","0"
"L2673119","0"
"L5410231","0"
"L3127160","0"
"L5502039","0"
"L8645166","0"
"L4486966","0"
"L7213949","0"
"L2620642","0"
"L3148814","0"
"L1882596","0"
"L2040822","0"
"L6240682","0"
"L4146516","0"
"L2527880","0"
"L2666166","0"
"L5752886","0"
"L3350875","0"
"L2265071","0"
"L2747804","0"
"L4941230","0"
"L3844302","0"
"L4484480","0"
"L5294910","0"
"L2616177","0"
"L3035233","0"
"L8561365","0"
"L4041499","0"
"L2527837","0"
"L1880567","0"
"L3353713","0"
"L3315869","0"
"L1525514","0"
"L7115036","0"
"L10147361","0"
"L7898655","0"
"L4314141","0"
"L8591856","0"
"L1459790","0"
"L987628","0"
"L7334169","0"
"L3141785","0"
"L10221601","0"
"L2534686","0"
